Transect,Waypoint,Type,daylength,long,lat,on_off,speed,mode,distance_to_next,distance_cum,time_to_next,time_cum,leg,Region
29,29.1,Compulsory,13.602586208755026,-122.861747,37.985736,1,9.5,survey,33.690357709318214,2120.119316324232,0.2607117050141237,16.06258978776382,2,Central CA
29,29.2,Compulsory,13.602586208755026,-123.472449,37.700309,1,10,transit,15.21227836504038,2135.3315946892726,0.11771970674571396,16.180309494509533,2,Central CA
30,30.2,Compulsory,13.584707893912269,-123.628401,37.921941,1,9.5,survey,34.35437347938378,2169.6859681686565,0.266200044062463,16.446509538572,2,Central CA
30,30.1,Compulsory,13.584707893912269,-123.003782,38.213006,1,10,transit,15.269985676199914,2184.955953844856,0.11832178695609,16.564831325528086,2,Central CA
31,31.1,Compulsory,13.56682957906951,-123.170729,38.431202999999996,1,9.5,survey,35.92811119571576,2220.884065040572,0.27876125513427985,16.843592580662367,2,Central CA
31,31.2,Compulsory,13.56682957906951,-123.824535,38.125071,1,10,transit,15.485436031494288,2236.369501072066,0.12014936050842823,16.963741941170795,2,Central CA
32,32.2,Compulsory,13.548951264226753,-124.040438,38.31935,1,9.5,survey,35.58882068876687,2271.9583217608333,0.27649310846221736,17.240235049633014,2,Central CA
32,32.1,Compulsory,13.548951264226753,-123.390433,38.621711,1,10,transit,15.629625742707633,2287.587947503541,0.12142812608191716,17.36166317571493,2,Central CA
33,33.1,Compulsory,13.531072949383995,-123.623679,38.807714,1,9.5,survey,34.13904208117246,2321.726989584713,0.26558007560879504,17.627243251323726,2,Central CA
33,33.2,Compulsory,13.531072949383995,-124.248762,38.517541,1,10,transit,15.460020094835421,2337.1870096795487,0.12026914217268718,17.74751239349641,2,Central CA
34,34.2,Compulsory,13.513194634541238,-124.364354,38.759008,1,9.5,survey,34.763925967905145,2371.9509356474537,0.2707990765445505,18.018311470040963,2,Central CA
34,34.1,Compulsory,13.513194634541238,-123.725781,39.054647,1,10,transit,15.504802289855247,2387.455737937309,0.12077709939823703,18.1390885694392,2,Central CA
